date,q_m3s,stage_m
2024-11-01,792.7,247.66
2024-11-02,812.8,247.77
2024-11-03,834.8,247.88
2024-11-04,816.1,247.79
2024-11-05,827.5,247.84
2024-11-06,868.0,248.05
2024-11-07,833.6,247.88
2024-11-08,868.4,248.05
2024-11-09,853.9,247.98
2024-11-10,843.3,247.92
2024-11-11,817.4,247.79
2024-11-12,839.1,247.9
2024-11-13,789.7,247.65
2024-11-14,801.2,247.71
2024-11-15,780.3,247.6
2024-11-16,722.3,247.3
2024-11-17,736.1,247.37
2024-11-18,714.0,247.26
2024-11-19,888.9,247.83
2024-11-20,870.0,247.73
2024-11-21,896.5,247.87
2024-11-22,883.2,247.8
2024-11-23,879.5,247.78
2024-11-24,737.6,247.38
2024-11-25,731.3,247.35
2024-11-26,762.4,247.51
2024-11-27,800.4,247.7
2024-11-28,794.1,247.67
2024-11-29,800.2,247.7
2024-11-30,843.6,247.93
