date,q_m3s,stage_m
2024-11-01,1112.3,152.04
2024-11-02,1098.2,151.99
2024-11-03,1141.1,152.15
2024-11-04,1138.8,152.14
2024-11-05,1206.7,152.39
2024-11-06,1224.2,152.45
2024-11-07,1174.6,152.27
2024-11-08,1181.9,152.3
2024-11-09,1150.4,152.18
2024-11-10,1149.5,152.18
2024-11-11,1180.3,152.29
2024-11-12,1167.2,152.24
2024-11-13,1155.2,152.2
2024-11-14,1083.8,151.94
2024-11-15,1122.5,152.08
2024-11-16,1032.1,151.75
2024-11-17,1011.0,151.68
2024-11-18,983.2,151.58
2024-11-19,1245.1,152.2
2024-11-20,1218.1,152.1
2024-11-21,1245.1,152.2
2024-11-22,1236.6,152.17
2024-11-23,1271.5,152.29
2024-11-24,1010.2,151.67
2024-11-25,1041.7,151.79
2024-11-26,1063.1,151.87
2024-11-27,1075.6,151.91
2024-11-28,1144.5,152.16
2024-11-29,1154.1,152.2
2024-11-30,1138.0,152.14
