date,q_m3s,stage_m
2024-11-01,597.7,4.07
2024-11-02,610.8,4.16
2024-11-03,637.7,4.33
2024-11-04,659.0,4.47
2024-11-05,656.5,4.45
2024-11-06,667.9,4.53
2024-11-07,662.4,4.49
2024-11-08,644.2,4.37
2024-11-09,639.4,4.34
2024-11-10,645.8,4.38
2024-11-11,642.8,4.37
2024-11-12,628.9,4.27
2024-11-13,617.2,4.2
2024-11-14,616.7,4.19
2024-11-15,615.6,4.19
2024-11-16,569.0,3.88
2024-11-17,563.6,3.85
2024-11-18,580.4,3.96
2024-11-19,713.5,4.5
2024-11-20,695.3,4.38
2024-11-21,703.7,4.43
2024-11-22,703.9,4.44
2024-11-23,694.1,4.37
2024-11-24,553.7,3.78
2024-11-25,559.0,3.82
2024-11-26,574.2,3.91
2024-11-27,627.8,4.27
2024-11-28,605.6,4.12
2024-11-29,614.4,4.18
2024-11-30,641.5,4.36
