date,station_id,station_name,river,basin,lat,lon,role,stage_m,discharge_m3s,precip_mm,temp_c,sediment_kgm3,area_m2,warn_stage_m,alert_stage_m,warn_q_m3s,alert_q_m3s
2022-01-01,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.52,109.74,11.48,12.9,1.5,121.1,1515.5,1517.0,2500,4500
2022-01-02,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.59,173.24,9.73,14.2,1.77,185.1,1515.5,1517.0,2500,4500
2022-01-03,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.65,240.32,14.21,1.8,1.98,251.1,1515.5,1517.0,2500,4500
2022-01-04,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.79,449.39,0.0,-3.4,2.68,450.3,1515.5,1517.0,2500,4500
2022-01-05,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.78,442.88,0.0,0.5,2.72,444.2,1515.5,1517.0,2500,4500
2022-01-06,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.75,390.77,0.0,3.0,2.45,395.2,1515.5,1517.0,2500,4500
2022-01-07,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.73,351.69,4.34,-1.5,2.44,358.2,1515.5,1517.0,2500,4500
2022-01-08,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.7,307.41,0.0,-4.2,2.41,315.9,1515.5,1517.0,2500,4500
2022-01-09,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.67,264.75,3.92,1.1,2.05,274.8,1515.5,1517.0,2500,4500
2022-01-10,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.66,258.24,1.68,1.0,2.01,268.5,1515.5,1517.0,2500,4500
2022-01-11,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.65,235.77,0.0,-4.4,2.03,246.6,1515.5,1517.0,2500,4500
2022-01-12,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.64,226.32,0.0,-1.0,1.98,237.4,1515.5,1517.0,2500,4500
2022-01-13,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.66,249.12,0.0,2.6,2.05,259.6,1515.5,1517.0,2500,4500
2022-01-14,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.67,270.61,0.0,2.9,2.02,280.5,1515.5,1517.0,2500,4500
2022-01-15,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.67,262.79,0.0,-2.8,2.09,272.9,1515.5,1517.0,2500,4500
2022-01-16,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.65,239.02,4.13,-6.4,2.07,249.8,1515.5,1517.0,2500,4500
2022-01-17,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.63,211.02,19.04,1.2,1.76,222.4,1515.5,1517.0,2500,4500
2022-01-18,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.62,206.78,0.0,-0.4,1.83,218.3,1515.5,1517.0,2500,4500
2022-01-19,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.64,227.62,0.0,1.9,1.77,238.7,1515.5,1517.0,2500,4500
2022-01-20,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.65,245.54,8.82,3.2,1.89,256.2,1515.5,1517.0,2500,4500
2022-01-21,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.66,255.96,0.0,-5.7,1.87,266.3,1515.5,1517.0,2500,4500
2022-01-22,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.67,260.84,0.0,-4.9,2.06,271.0,1515.5,1517.0,2500,4500
