date,q_m3s,stage_m
2024-11-01,331.5,245.34
2024-11-02,325.2,245.26
2024-11-03,343.6,245.49
2024-11-04,327.7,245.3
2024-11-05,336.8,245.41
2024-11-06,352.1,245.6
2024-11-07,347.7,245.55
2024-11-08,349.5,245.57
2024-11-09,340.7,245.46
2024-11-10,347.5,245.54
2024-11-11,328.6,245.31
2024-11-12,340.2,245.45
2024-11-13,317.4,245.17
2024-11-14,326.0,245.27
2024-11-15,311.5,245.09
2024-11-16,308.1,245.05
2024-11-17,291.0,244.84
2024-11-18,294.0,244.88
2024-11-19,375.8,245.57
2024-11-20,374.1,245.55
2024-11-21,352.0,245.27
2024-11-22,371.7,245.52
2024-11-23,377.3,245.59
2024-11-24,303.2,244.99
2024-11-25,295.8,244.9
2024-11-26,319.4,245.19
2024-11-27,308.3,245.05
2024-11-28,318.7,245.18
2024-11-29,327.7,245.3
2024-11-30,341.3,245.47
