date,q_m3s,stage_m
2024-11-01,86.8,2.44
2024-11-02,84.8,2.34
2024-11-03,90.1,2.59
2024-11-04,90.9,2.63
2024-11-05,93.6,2.76
2024-11-06,94.2,2.79
2024-11-07,91.3,2.65
2024-11-08,94.1,2.78
2024-11-09,94.7,2.81
2024-11-10,88.6,2.52
2024-11-11,87.4,2.46
2024-11-12,88.5,2.51
2024-11-13,88.8,2.53
2024-11-14,86.0,2.4
2024-11-15,83.6,2.28
2024-11-16,84.4,2.32
2024-11-17,79.9,2.11
2024-11-18,76.3,1.94
2024-11-19,96.6,2.57
2024-11-20,97.7,2.62
2024-11-21,97.7,2.62
2024-11-22,95.6,2.52
2024-11-23,97.4,2.6
2024-11-24,81.2,2.17
2024-11-25,78.6,2.05
2024-11-26,80.0,2.11
2024-11-27,82.2,2.22
2024-11-28,88.1,2.49
2024-11-29,88.1,2.5
2024-11-30,87.2,2.45
